county,date,7D_roll_pred_tot,doses_dist_7roll_county,doses_admin_7roll_county,delta
Alameda,2021-02-07,447.0,120963.0,44454.0,-120516.0
Amador,2021-02-07,13.0,2877.0,1057.0,-2864.0
Butte,2021-02-07,54.0,15864.0,5830.0,-15810.0
Calaveras,2021-02-07,7.0,3322.0,1221.0,-3315.0
Colusa,2021-02-07,5.0,1559.0,573.0,-1554.0
Contra Costa,2021-02-07,339.0,83487.0,30681.0,-83148.0
Del Norte,2021-02-07,0.0,2013.0,740.0,-2013.0
El Dorado,2021-02-07,2.0,13957.0,5129.0,-13955.0
Fresno,2021-02-07,470.0,72310.0,26574.0,-71840.0
Glenn,2021-02-07,9.0,2055.0,755.0,-2046.0
Humboldt,2021-02-07,1.0,9811.0,3606.0,-9810.0
Imperial,2021-02-07,109.0,13116.0,4820.0,-13007.0
Inyo,2021-02-07,0.0,1306.0,480.0,-1306.0
Kern,2021-02-07,1031.0,65152.0,23944.0,-64121.0
Kings,2021-02-07,84.0,11069.0,4068.0,-10985.0
Lake,2021-02-07,8.0,4660.0,1713.0,-4652.0
Lassen,2021-02-07,0.0,2213.0,813.0,-2213.0
Los Angeles,2021-02-07,6343.0,726584.0,267020.0,-720241.0
Madera,2021-02-07,80.0,11387.0,4185.0,-11307.0
Marin,2021-02-07,327.0,18733.0,6884.0,-18406.0
Mariposa,2021-02-07,0.0,1245.0,458.0,-1245.0
Mendocino,2021-02-07,16.0,6278.0,2307.0,-6262.0
Merced,2021-02-07,140.0,20097.0,7386.0,-19957.0
Modoc,2021-02-07,,640.0,235.0,
Mono,2021-02-07,1.0,1045.0,384.0,-1044.0
Monterey,2021-02-07,236.0,31415.0,11545.0,-31179.0
Napa,2021-02-07,37.0,9969.0,3664.0,-9932.0
Nevada,2021-02-07,1.0,7220.0,2653.0,-7219.0
Orange,2021-02-07,1393.0,229842.0,84467.0,-228449.0
Placer,2021-02-07,67.0,28829.0,10595.0,-28762.0
Plumas,2021-02-07,0.0,1361.0,500.0,-1361.0
Riverside,2021-02-07,973.0,178807.0,65712.0,-177834.0
Sacramento,2021-02-07,377.0,112331.0,41282.0,-111954.0
San Benito,2021-02-07,19.0,4546.0,1671.0,-4527.0
San Bernardino,2021-02-07,976.0,157785.0,57986.0,-156809.0
San Diego,2021-02-07,382.0,241613.0,88793.0,-241231.0
San Francisco,2021-02-07,144.0,63802.0,23447.0,-63658.0
San Joaquin,2021-02-07,288.0,55161.0,20272.0,-54873.0
San Luis Obispo,2021-02-07,96.0,20490.0,7530.0,-20394.0
San Mateo,2021-02-07,204.0,55481.0,20389.0,-55277.0
Santa Barbara,2021-02-07,139.0,32316.0,11876.0,-32177.0
Santa Clara,2021-02-07,403.0,139529.0,51277.0,-139126.0
Santa Cruz,2021-02-07,52.0,19774.0,7267.0,-19722.0
Shasta,2021-02-07,9.0,13033.0,4790.0,-13024.0
Siskiyou,2021-02-07,0.0,3151.0,1158.0,-3151.0
Solano,2021-02-07,122.0,32398.0,11906.0,-32276.0
Sonoma,2021-02-07,181.0,35778.0,13148.0,-35597.0
Stanislaus,2021-02-07,347.0,39854.0,14646.0,-39507.0
Sutter,2021-02-07,14.0,7018.0,2579.0,-7004.0
Tehama,2021-02-07,15.0,4710.0,1731.0,-4695.0
Trinity,2021-02-07,0.0,889.0,327.0,-889.0
Tulare,2021-02-07,237.0,33741.0,12400.0,-33504.0
Tuolumne,2021-02-07,3.0,3943.0,1449.0,-3940.0
Ventura,2021-02-07,254.0,61230.0,22502.0,-60976.0
Yolo,2021-02-07,61.0,15959.0,5865.0,-15898.0
Yuba,2021-02-07,24.0,5694.0,2092.0,-5670.0
